timestamp,model,inspection_name,result,score,overall_result,result_image_id
2026-05-17 08:00:00,CV5VS_MODEL,Filter Drier,PASS,0.9242,PASS,20260517_080000
2026-05-17 08:00:00,CV5VS_MODEL,Hot Gas Valve,PASS,0.7914,PASS,20260517_080000
2026-05-17 08:00:00,CV5VS_MODEL,Expansion Valve,PASS,0.8744,PASS,20260517_080000
2026-05-17 08:00:00,CV5VS_MODEL,High Pressure Sensor,PASS,0.8681,PASS,20260517_080000
2026-05-17 08:00:00,CV5VS_MODEL,Common-Start-Run,PASS,0.7736,PASS,20260517_080000
2026-05-17 08:00:00,CV5VS_MODEL,Check Valve,PASS,0.7701,PASS,20260517_080000
2026-05-17 08:00:00,CV5VS_MODEL,Bolt & Washer,PASS,0.8866,PASS,20260517_080000
2026-05-17 08:00:00,CV5VS_MODEL,Bolt & Washer,PASS,0.8566,PASS,20260517_080000
2026-05-17 08:01:30,CV5VS_MODEL,Filter Drier,PASS,0.9213,PASS,20260517_080130
2026-05-17 08:01:30,CV5VS_MODEL,Hot Gas Valve,PASS,0.8058,PASS,20260517_080130
2026-05-17 08:01:30,CV5VS_MODEL,Expansion Valve,PASS,0.8916,PASS,20260517_080130
2026-05-17 08:01:30,CV5VS_MODEL,High Pressure Sensor,PASS,0.8865,PASS,20260517_080130
2026-05-17 08:01:30,CV5VS_MODEL,Common-Start-Run,PASS,0.8128,PASS,20260517_080130
2026-05-17 08:01:30,CV5VS_MODEL,Check Valve,PASS,0.8344,PASS,20260517_080130
2026-05-17 08:01:30,CV5VS_MODEL,Bolt & Washer,PASS,0.8331,PASS,20260517_080130
2026-05-17 08:01:30,CV5VS_MODEL,Bolt & Washer,PASS,0.8193,PASS,20260517_080130
2026-05-17 08:03:00,CV5VS_MODEL,Filter Drier,PASS,0.9399,PASS,20260517_080300
2026-05-17 08:03:00,CV5VS_MODEL,Hot Gas Valve,PASS,0.8656,PASS,20260517_080300
2026-05-17 08:03:00,CV5VS_MODEL,Expansion Valve,PASS,0.8821,PASS,20260517_080300
2026-05-17 08:03:00,CV5VS_MODEL,High Pressure Sensor,PASS,0.8357,PASS,20260517_080300
2026-05-17 08:03:00,CV5VS_MODEL,Common-Start-Run,PASS,0.8066,PASS,20260517_080300
2026-05-17 08:03:00,CV5VS_MODEL,Check Valve,PASS,0.7719,PASS,20260517_080300
2026-05-17 08:03:00,CV5VS_MODEL,Bolt & Washer,PASS,0.8544,PASS,20260517_080300
