timestamp,model,inspection_name,result,score,overall_result,result_image_id
2026-05-19 10:47:44,CV5VS_MODEL,Filter Drier,PASS,0.9591,PASS,20260519_104744_Image_20260513135716489
2026-05-19 10:47:44,CV5VS_MODEL,Hot Gas Valve,PASS,0.5989,PASS,20260519_104744_Image_20260513135716489
2026-05-19 10:47:44,CV5VS_MODEL,Expansion Valve,PASS,0.7196,PASS,20260519_104744_Image_20260513135716489
2026-05-19 10:47:44,CV5VS_MODEL,High Pressure Sensor,PASS,0.8185,PASS,20260519_104744_Image_20260513135716489
2026-05-19 10:47:44,CV5VS_MODEL,Common-Start-Run,PASS,0.7250,PASS,20260519_104744_Image_20260513135716489
2026-05-19 10:47:44,CV5VS_MODEL,Check Valve,PASS,0.7812,PASS,20260519_104744_Image_20260513135716489
2026-05-19 10:47:44,CV5VS_MODEL,Bolt & Washer,PASS,0.9787,PASS,20260519_104744_Image_20260513135716489
2026-05-19 10:47:44,CV5VS_MODEL,Bolt & Washer,PASS,0.8728,PASS,20260519_104744_Image_20260513135716489
2026-05-19 10:50:09,CV5VS_MODEL,Filter Drier,FAIL,0.9472,FAIL,20260519_105009_Image_20260513140129380
2026-05-19 10:50:09,CV5VS_MODEL,Hot Gas Valve,PASS,0.5923,FAIL,20260519_105009_Image_20260513140129380
2026-05-19 10:50:09,CV5VS_MODEL,Expansion Valve,PASS,0.7153,FAIL,20260519_105009_Image_20260513140129380
2026-05-19 10:50:09,CV5VS_MODEL,High Pressure Sensor,PASS,0.8861,FAIL,20260519_105009_Image_20260513140129380
2026-05-19 10:50:09,CV5VS_MODEL,Common-Start-Run,PASS,0.7417,FAIL,20260519_105009_Image_20260513140129380
2026-05-19 10:50:09,CV5VS_MODEL,Check Valve,PASS,0.7487,FAIL,20260519_105009_Image_20260513140129380
2026-05-19 10:50:09,CV5VS_MODEL,Bolt & Washer,PASS,0.8613,FAIL,20260519_105009_Image_20260513140129380
2026-05-19 10:50:09,CV5VS_MODEL,Bolt & Washer,PASS,0.8412,FAIL,20260519_105009_Image_20260513140129380
2026-05-19 10:50:19,CV5VS_MODEL,Filter Drier,PASS,0.9450,PASS,20260519_105019_Image_20260513140525768
2026-05-19 10:50:19,CV5VS_MODEL,Hot Gas Valve,PASS,0.7943,PASS,20260519_105019_Image_20260513140525768
2026-05-19 10:50:19,CV5VS_MODEL,Expansion Valve,PASS,0.9177,PASS,20260519_105019_Image_20260513140525768
2026-05-19 10:50:19,CV5VS_MODEL,High Pressure Sensor,PASS,0.8311,PASS,20260519_105019_Image_20260513140525768
2026-05-19 10:50:19,CV5VS_MODEL,Common-Start-Run,PASS,0.7401,PASS,20260519_105019_Image_20260513140525768
2026-05-19 10:50:19,CV5VS_MODEL,Check Valve,PASS,0.6971,PASS,20260519_105019_Image_20260513140525768
2026-05-19 10:50:19,CV5VS_MODEL,Bolt & Washer,PASS,0.9049,PASS,20260519_105019_Image_20260513140525768
2026-05-19 10:50:19,CV5VS_MODEL,Bolt & Washer,PASS,0.8257,PASS,20260519_105019_Image_20260513140525768
2026-05-19 10:52:23,CV5VS_MODEL,Filter Drier,PASS,0.9082,FAIL,20260519_105223_Image_20260513140750899
2026-05-19 10:52:23,CV5VS_MODEL,Hot Gas Valve,PASS,0.5910,FAIL,20260519_105223_Image_20260513140750899
2026-05-19 10:52:23,CV5VS_MODEL,Expansion Valve,PASS,0.9746,FAIL,20260519_105223_Image_20260513140750899
2026-05-19 10:52:23,CV5VS_MODEL,High Pressure Sensor,PASS,0.9862,FAIL,20260519_105223_Image_20260513140750899
2026-05-19 10:52:23,CV5VS_MODEL,Common-Start-Run,PASS,0.7091,FAIL,20260519_105223_Image_20260513140750899
2026-05-19 10:52:23,CV5VS_MODEL,Check Valve,PASS,0.6975,FAIL,20260519_105223_Image_20260513140750899
2026-05-19 10:52:23,CV5VS_MODEL,Bolt & Washer,FAIL,0.9876,FAIL,20260519_105223_Image_20260513140750899
2026-05-19 10:52:23,CV5VS_MODEL,Bolt & Washer,PASS,0.8658,FAIL,20260519_105223_Image_20260513140750899
2026-05-19 10:53:43,CV5VS_MODEL,Filter Drier,FAIL,0.9472,FAIL,20260519_105343_Image_20260513140129380
2026-05-19 10:53:43,CV5VS_MODEL,Hot Gas Valve,PASS,0.5923,FAIL,20260519_105343_Image_20260513140129380
2026-05-19 10:53:43,CV5VS_MODEL,Expansion Valve,PASS,0.7153,FAIL,20260519_105343_Image_20260513140129380
2026-05-19 10:53:43,CV5VS_MODEL,High Pressure Sensor,PASS,0.8861,FAIL,20260519_105343_Image_20260513140129380
2026-05-19 10:53:43,CV5VS_MODEL,Common-Start-Run,PASS,0.7417,FAIL,20260519_105343_Image_20260513140129380
2026-05-19 10:53:43,CV5VS_MODEL,Check Valve,PASS,0.7487,FAIL,20260519_105343_Image_20260513140129380
2026-05-19 10:53:43,CV5VS_MODEL,Bolt & Washer,PASS,0.8613,FAIL,20260519_105343_Image_20260513140129380
2026-05-19 10:53:43,CV5VS_MODEL,Bolt & Washer,PASS,0.8412,FAIL,20260519_105343_Image_20260513140129380
2026-05-19 10:53:47,CV5VS_MODEL,Filter Drier,PASS,0.9306,PASS,20260519_105347_Image_20260512180009155
2026-05-19 10:53:47,CV5VS_MODEL,Hot Gas Valve,PASS,0.9696,PASS,20260519_105347_Image_20260512180009155
2026-05-19 10:53:47,CV5VS_MODEL,Expansion Valve,PASS,0.6547,PASS,20260519_105347_Image_20260512180009155
2026-05-19 10:53:47,CV5VS_MODEL,High Pressure Sensor,PASS,0.9807,PASS,20260519_105347_Image_20260512180009155
2026-05-19 10:53:47,CV5VS_MODEL,Common-Start-Run,PASS,0.9300,PASS,20260519_105347_Image_20260512180009155
